,title,category,composer,year,epoch,country,stars
1032,"Rodelinda, regina de' Longobardi, HWV 19",Opera,George Frideric Handel,1725,Baroque,Germany,2
1033,Nixon in China,Opera,John Adams,1987,Post-War,United States,2
1034,Bassoon Concerto in F Major,Wind Concerto,Johann Nepomuk Hummel,1805,Early Romantic,Austria,2
1035,"Octet in F Major, D. 803",Octet,Franz Schubert,1824,Early Romantic,Austria,2
1036,"Mass No. 5 in A-flat Major, D. 678",Mass / Requiem,Franz Schubert,1822,Early Romantic,Austria,2
1037,"Arabeske in C Major, Op. 18",Piano Sonata,Robert Schumann,1839,Romantic,Germany,2
1038,Lieder und Gesänge,Lieder / Song,Gustav Mahler,1889,Late Romantic,Austria,2
1039,"Israel in Egypt, HWV 54",Choral orchestral,George Frideric Handel,1738,Baroque,Germany,2
1040,"Vier ernste Gesänge (Four Serious Songs), Op. 121",Lieder / Song,Johannes Brahms,1896,Romantic,Germany,2
1041,Répons,Unsorted Orchestral,Pierre Boulez,1981,Post-War,France,2
1042,Clapping Music,Unsorted Chamber,Steve Reich,1972,Post-War,United States,2
1043,"Piano Concerto No. 9 in E-flat Major (Jeunehomme), K. 271",Piano Concerto,Wolfgang Amadeus Mozart,1777,Classical,Austria,2
1044,"Six moments musicaux, D. 780",Piano Sonata,Franz Schubert,1828,Early Romantic,Austria,2
1045,"Barcarole in F-sharp Major, Op. 60",Piano Sonata,Frédéric Chopin,1846,Romantic,Poland,2
1046,"Drei Klavierstücke (Three Piano Pieces), Op. 11",Piano Sonata,Arnold Schoenberg,1909,20th Century,Austria,2
1047,Pacific 231,Unsorted Orchestral,Arthur Honegger,1923,20th Century,Switzerland,2
1048,Chamber Concerto,Unsorted Orchestral,György Ligeti,1970,Post-War,Hungary,2
1049,"Piano Sonata No. 2, Op. 22",Piano Sonata,Robert Schumann,1838,Romantic,Germany,2
1050,"Ballade in G Minor (Ballade in the Form of Variations on a Norwegian Folk Song), Op. 24",Piano Sonata,Edvard Grieg,1875,Romantic,Norway,2
1051,"Piano Sonata No. 13 in A Major, D. 664",Piano Sonata,Franz Schubert,1819,Early Romantic,Austria,2
1052,"Konzertstück (Introduction & Allegro appassionato), Op. 92",Piano Concerto,Robert Schumann,1852,Romantic,Germany,2
1053,Phrygian Gates,Piano Sonata,John Adams,1978,Post-War,United States,2
1054,Pièces de Clavecin,Piano Sonata,François Couperin,1717,Baroque,France,2
1055,Viola Concerto,Viola Concerto,Sofia Gubaidulina,1996,Post-War,Russia,2
1056,"Symphony No. 85 in B-flat Major (La Reine), Hoboken 1/85",Symphony,Joseph Haydn,1786,Classical,Austria,2
1057,"Suleika I, D. 720",Lieder / Song,Franz Schubert,1821,Early Romantic,Austria,2
1058,"Fantasy For Viola And Orchestra (Potpourri), Op. 94",Viola Concerto,Johann Nepomuk Hummel,-1,Early Romantic,Austria,2
1059,"Trumpet Concerto, Hob. VIIe/1",Wind Concerto,Joseph Haydn,1796,Classical,Austria,2
1060,Paris Quartets,Unsorted Chamber,Georg Philipp Telemann,-1,Baroque,Germany,2
1061,Mass for Three Voices,Mass / Requiem,William Byrd,-1,Medieval-Renaissance,England,2
1062,Piano Phase,Unsorted Chamber,Steve Reich,1967,Post-War,United States,2
1063,String Quartet No. 2,String Quartet,Alfred Schnittke,1980,Post-War,Russia,2
1064,"Rusalka, Op. 114",Opera,Antonín Dvořák,1900,Romantic,Czech Republic,2
1065,Roméo et Juliette,Opera,Charles Gounod,1867,Romantic,France,2
1066,Valses nobles et sentimentales,Unsorted Orchestral,Maurice Ravel,1911,Late Romantic,France,2
1067,"Rhapsodies, Op. 79",Piano Sonata,Johannes Brahms,1879,Romantic,Germany,2
1068,"Requiem in D Minor, WAB 39",Mass / Requiem,Anton Bruckner,1849,Romantic,Austria,2
1069,"Violin Concerto No. 2 in D Minor, Op. 44",Violin Concerto,Max Bruch,1877,Romantic,Germany,2
1070,"Carnival Overture, Op. 92, B. 169",Unsorted Orchestral,Antonín Dvořák,1891,Romantic,Czech Republic,2
1071,Kammerkonzert (Chamber Concerto for Piano and Violin with 13 Wind Instruments),Unsorted Orchestral,Alban Berg,1925,20th Century,Austria,2
1072,"Symphony No. 79 in F Major, Hoboken 1/79",Symphony,Joseph Haydn,1784,Classical,Austria,2
1073,"Cello Sonata No. 1 in B-flat Major, Op. 45",Cello Sonata,Felix Mendelssohn,1838,Romantic,Germany,2
1074,Mass in G Minor,Mass / Requiem,Ralph Vaughan Williams,1921,Late Romantic,England,2
1075,Concerto for Piano and Strings,Piano Concerto,Alfred Schnittke,1979,Post-War,Russia,2
1076,Et Exspecto Resurrectionem Mortuorum,Unsorted Orchestral,Olivier Messiaen,1964,20th Century,France,2
1077,Marian Vespers,Choral orchestral,Giovanni Battista Pergolesi,-1,Baroque,Italy,2
1078,Roman Festivals (Feste Romane),Symphonic Poem,Ottorino Respighi,1928,Late Romantic,Italy,2
1079,"Piano Concerto No. 19 in F Major, K. 459",Piano Concerto,Wolfgang Amadeus Mozart,1784,Classical,Austria,2
1080,Symphony No. 2,Symphony,Henri Dutilleux,1959,Post-War,France,2
1081,"Der Wanderer, D. 489",Lieder / Song,Franz Schubert,1816,Early Romantic,Austria,2
1082,"Symphony No. 15 in A Major, Op. 141",Symphony,Dmitri Shostakovich,1971,20th Century,Russia,2
1083,"Requiem, Op. 54",Mass / Requiem,Camille Saint-Saëns,1878,Romantic,France,2
1084,Chronochromie,Unsorted Orchestral,Olivier Messiaen,1960,20th Century,France,2
1085,"Piano Concerto No. 1, Op. 45",Piano Concerto,Einojuhani Rautavaara,1969,Post-War,Finland,2
1086,"Benedictus Dominus, LWV 64/2",Choral orchestral,Jean-Baptiste Lully,-1,Baroque,France,2
1087,"Piano Concerto No. 26 in D Major (Coronation), K. 537",Piano Concerto,Wolfgang Amadeus Mozart,1788,Classical,Austria,2
1088,"Piano Concerto No. 2 in A Minor, Op. 85",Piano Concerto,Johann Nepomuk Hummel,1816,Early Romantic,Austria,2
1089,Un ballo in maschera,Opera,Giuseppe Verdi,1859,Romantic,Italy,2
1090,"Serenade No. 1, Op. 11",Unsorted Orchestral,Johannes Brahms,1858,Romantic,Germany,2
1091,"Variations for Orchestra, Op. 31",Unsorted Orchestral,Arnold Schoenberg,1928,20th Century,Austria,2
1092,Lontano,Unsorted Orchestral,György Ligeti,1967,Post-War,Hungary,2
1093,Coppélia,Ballet,Léo Delibes,1870,Romantic,France,2
1094,"Fêtes galantes, L. 80, 104",Lieder / Song,Claude Debussy,1904,Late Romantic,France,2
1095,"Adagio in B Minor, K. 540",Piano Sonata,Wolfgang Amadeus Mozart,1788,Classical,Austria,2
1096,Petite Messe Solennelle,Mass / Requiem,Gioachino Rossini,1863,Early Romantic,Italy,2
1097,Hamburg Concerto,Unsorted Orchestral,György Ligeti,1999,Post-War,Hungary,2
1098,"Sonata for Horn Trumpet and Trombone, FP 33a",Unsorted Chamber,Francis Poulenc,1922,20th Century,France,2
1099,From the House of the Dead (Z mrtvého domu),Opera,Leoš Janáček,1928,Late Romantic,Czech Republic,2
1100,Les pêcheurs de perles (The Pearl Fishers),Opera,Georges Bizet,1863,Romantic,France,2
1101,"The Oceanides (Aallottaret), Op. 73",Symphonic Poem,Jean Sibelius,1914,Late Romantic,Finland,2
1102,"Symphony No. 3 in E Major, Op. 51",Symphony,Max Bruch,1882,Romantic,Germany,2
1103,"Sea Pictures, Op. 37",Lieder / Song,Edward Elgar,1899,Late Romantic,England,2
1104,"Le Chasseur maudit (The Accursed Huntsman), FWV 44",Symphonic Poem,César Franck,1882,Romantic,Belgium,2
1105,Offertorium,Violin Concerto,Sofia Gubaidulina,1980,Post-War,Russia,2
1106,Ludus Tonalis,Piano Sonata,Paul Hindemith,1942,20th Century,Germany,2
1107,"Liederkreis, Op. 24",Lieder / Song,Robert Schumann,1840,Romantic,Germany,2
1108,"Myrthen, Op. 25",Lieder / Song,Robert Schumann,1840,Romantic,Germany,2
1109,"Piano Concerto No. 2 in G Major, Op. 44",Piano Concerto,Pyotr Ilyich Tchaikovsky,1880,Romantic,Russia,2
1110,Viola Concerto,Viola Concerto,Alfred Schnittke,1985,Post-War,Russia,2
1111,Symphony No. 1 in C Major,Symphony,Mily Balakirev,1866,Romantic,Russia,2
1112,De Natura Sonoris No. 2,Unsorted Orchestral,Krzysztof Penderecki,1971,Post-War,Poland,2
1113,"Concerto for Viola d'amore and Lute in D Minor, RV 540",Unsorted Orchestral,Antonio Vivaldi,-1,Baroque,Italy,2
1114,"Piano Concerto No. 4 in B-flat Major, Op. 53",Piano Concerto,Sergei Prokofiev,1931,20th Century,Russia,2
1115,Musique funèbre,Unsorted Orchestral,Witold Lutosławski,1958,Post-War,Poland,2
1116,"Piano Sonata No. 6 in E Minor, D. 566",Piano Sonata,Franz Schubert,1817,Early Romantic,Austria,2
1117,Visions fugitives,Piano Sonata,Sergei Prokofiev,1917,20th Century,Russia,2
1118,Scheherazade.2,Violin Concerto,John Adams,2015,Post-War,United States,2
1119,"Suite, Op. 5",Organ,Maurice Duruflé,1933,20th Century,France,2
1120,Correspondances,Lieder / Song,Henri Dutilleux,2003,Post-War,France,2
1121,"Die schöne Müllerin, D. 795",Lieder / Song,Franz Schubert,1823,Early Romantic,Austria,2
1122,Les Noces (The Wedding),Unsorted Orchestral,Igor Stravinsky,1923,20th Century,Russia,2
1123,Octet for Wind Instruments,Octet,Igor Stravinsky,1923,20th Century,Russia,2
1124,String Quartet No. 3,String Quartet,Alfred Schnittke,1983,Post-War,Russia,2
1125,"Great Eighteen Chorale Preludes, BWV 651–668",Organ,Johann Sebastian Bach,1714,Baroque,Germany,2
1126,Spring Fire,Symphonic Poem,Arnold Bax,1913,20th Century,England,2
1127,"Piano Quintet in G Minor, Op. 49",Piano Quintet,Enrique Granados,1895,Late Romantic,Spain,2
1128,"Nocturnes, FP 56",Piano Sonata,Francis Poulenc,1938,20th Century,France,2
1129,"Belkis, Queen of Sheba, P. 171",Ballet,Ottorino Respighi,1931,Late Romantic,Italy,2
1130,Luisa Miller,Opera,Giuseppe Verdi,1849,Romantic,Italy,2
1131,"Piano Sonata No. 1 in C Major, Op. 1",Piano Sonata,Johannes Brahms,1853,Romantic,Germany,2
1132,"Piano Concerto, Op. 13",Piano Concerto,Benjamin Britten,1938,20th Century,England,2
1133,"Symphony No. 5, Op. 76, B. 54",Symphony,Antonín Dvořák,1875,Romantic,Czech Republic,2
1134,"Serenade for Wind Instruments in D Minor, Op. 44, B. 77",Unsorted Orchestral,Antonín Dvořák,1878,Romantic,Czech Republic,2
1135,"Symphony No. 83 in G Minor, Hoboken I/83",Symphony,Joseph Haydn,1785,Classical,Austria,2
1136,"Du bist die Ruh', D. 776",Lieder / Song,Franz Schubert,1823,Early Romantic,Austria,2
1137,"String Quartet No. 4 in D Major, Op. 83",String Quartet,Dmitri Shostakovich,1949,20th Century,Russia,2
1138,"5 Lieder, Op. 41",Lieder / Song,Richard Strauss,1899,Late Romantic,Germany,2
1139,"Violin Sonata No. 2 in D Major, Op. 94a",Violin Sonata,Sergei Prokofiev,1943,20th Century,Russia,2
1140,"Piano Sonata No. 4 in C Minor, Op. 29",Piano Sonata,Sergei Prokofiev,1917,20th Century,Russia,2
1141,Piano Quintet in C Minor,Piano Quintet,Ralph Vaughan Williams,1903,Late Romantic,England,2
1142,"Piano Concerto in D-flat Major, Op. 38",Piano Concerto,Aram Khachaturian,1936,20th Century,Armenia,2
1143,"Symphony No. 1 in G Minor, Op. 7, FS 16",Symphony,Carl Nielsen,1892,Late Romantic,Denmark,2
1144,Fluorescences,Unsorted Orchestral,Krzysztof Penderecki,1961,Post-War,Poland,2
1145,Kontakte,Unsorted Orchestral,Karlheinz Stockhausen,1960,Post-War,Germany,2
1146,Symphony of Psalms,Symphony,Igor Stravinsky,1930,20th Century,Russia,2
1147,The Rake's Progress,Opera,Igor Stravinsky,1951,20th Century,Russia,2
1148,Lincoln Portrait,Unsorted Orchestral,Aaron Copland,1942,20th Century,United States,2
1149,"Berceuse, Op. 57",Piano Sonata,Frédéric Chopin,1844,Romantic,Poland,2
1150,"Rhapsody No. 1, Sz. 87",Violin Sonata,Béla Bartók,1928,20th Century,Hungary,2
1151,"Four Psalms, Op. 74",Chant,Edvard Grieg,1906,Romantic,Norway,2
1152,"Piano Sonata No. 1 in F-sharp Minor, Op. 11",Piano Sonata,Robert Schumann,1835,Romantic,Germany,2
1153,"The Bard, Op. 64",Symphonic Poem,Jean Sibelius,1913,Late Romantic,Finland,2
1154,Requiem Canticles,Choral orchestral,Igor Stravinsky,1966,20th Century,Russia,2
1155,Symphony No. 4,Symphony,Witold Lutosławski,1992,Post-War,Poland,2
1156,"Oboe Concerto, H. 353",Wind Concerto,Bohuslav Martinů,1955,20th Century,Czech Republic,2
1157,"Piano Sonata in E Minor (Night Wind), Op. 25 No. 2",Piano Sonata,Nikolai Medtner,1911,Late Romantic,Russia,2
1158,"Vetrate di Chiesa (Church Windows), P. 150",Unsorted Orchestral,Ottorino Respighi,1926,Late Romantic,Italy,2
1159,"Symphony No. 1 in B-flat Major (Spring Symphony), Op. 38",Symphony,Robert Schumann,1840,Romantic,Germany,2
1160,November Woods,Symphonic Poem,Arnold Bax,1917,20th Century,England,2
1161,"Réminiscences de Don Juan, S. 418",Piano Sonata,Franz Liszt,1841,Romantic,Hungary,2
1162,"Concerto for Violin, Piano and Strings, MWV O 4",Double Concerto,Felix Mendelssohn,1823,Romantic,Germany,2
1163,Sinfonia Veneziana,Unsorted Orchestral,Antonio Salieri,-1,Classical,Italy,2
1164,Tågen Letter (The Fog Is Lifting),Clarinet Sonata,Carl Nielsen,1920,Late Romantic,Denmark,2
1165,The Wonderful Widow of Eighteen Springs,Lieder / Song,John Cage,1942,Post-War,United States,2
1166,String Quartet No. 1 in A Major,String Quartet,Alexander Borodin,1877,Romantic,Russia,2
1167,Symphony No. 2 in E-flat Major,Symphony,Charles Gounod,1855,Romantic,France,2
1168,Sinfonia antartica,Symphony,Ralph Vaughan Williams,1952,Late Romantic,England,2
1169,Symphony No. 3 (Singulière),Symphony,Franz Berwald,1845,Early Romantic,Sweden,2
1170,"Symphony No. 2 in D Minor, Op. 40",Symphony,Sergei Prokofiev,1925,20th Century,Russia,2
1171,Symphony No. 1,Symphony,Alfred Schnittke,1974,Post-War,Russia,2
1172,"Harold en Italie, H 16",Symphony,Hector Berlioz,1834,Romantic,France,2
1173,"Symphony No. 2 in C Minor (Symphony of Pauses), WAB 102",Symphony,Anton Bruckner,1872,Romantic,Austria,2
1174,"Symphony No. 4 in C Minor (Tragic), D. 417",Symphony,Franz Schubert,1816,Early Romantic,Austria,2
1175,Oedipus rex,Opera,Igor Stravinsky,1927,20th Century,Russia,2
1176,"Symphony No. 1 in C Minor, WAB 101",Symphony,Anton Bruckner,1866,Romantic,Austria,2
1177,"Curlew River, Op. 71",Opera,Benjamin Britten,1964,20th Century,England,2
1178,"Piano Quartet in E-flat Major, Op. 47",Piano Quartet,Robert Schumann,1842,Romantic,Germany,1
1179,"Piano Trio in G Minor, Op. 15",Piano Trio,Bedřich Smetana,1855,Romantic,Czech Republic,1
1180,"Tapiola, Op. 112",Symphonic Poem,Jean Sibelius,1926,Late Romantic,Finland,1
1181,"Horn Concerto No. 3 in E-flat Major, K. 447",Wind Concerto,Wolfgang Amadeus Mozart,1787,Classical,Austria,1
1182,"Violin Sonata No. 3 in A Minor (in Romanian Folk Style), Op. 25",Violin Sonata,George Enescu,1926,Late Romantic,Romania,1
1183,"Fünf Stücke im Volkston, Op. 102",Cello Sonata,Robert Schumann,1849,Romantic,Germany,1
1184,"Cello Sonata No. 2 in F Major, Op. 99",Cello Sonata,Johannes Brahms,1886,Romantic,Germany,1
1185,"Piano Trio No. 39 in G Major (Gypsy), XV/25",Piano Trio,Joseph Haydn,1795,Classical,Austria,1
1186,"Piano Quintet in A Minor, Op. 84",Piano Quintet,Edward Elgar,1918,Late Romantic,England,1
1187,Boris Godunov,Opera,Modest Mussorgsky,1873,Romantic,Russia,1
1188,"Flute Concerto No. 1 in G Major, K. 313",Wind Concerto,Wolfgang Amadeus Mozart,1778,Classical,Austria,1
1189,"The Bells (Kolokola), Op. 35",Voice and Orchestra,Sergei Rachmaninoff,1913,Late Romantic,Russia,1
1190,"Sonatas for Viola da Gamba and Harpsichord, BWV 1027–1029",Unsorted Instrument Sonatas,Johann Sebastian Bach,-1,Baroque,Germany,1
1191,"Schicksalslied (Song of Destiny), Op. 54",Voice and Orchestra,Johannes Brahms,1871,Romantic,Germany,1
1192,"Piano Quartet No. 2, Op. 87",Piano Quartet,Antonín Dvořák,1889,Romantic,Czech Republic,1
1193,"Violin Sonata No. 1 in A Minor, Op. 105",Violin Sonata,Robert Schumann,1851,Romantic,Germany,1
1194,"Piano Trio No. 1 in D Minor, Op. 63",Piano Trio,Robert Schumann,1847,Romantic,Germany,1
1195,"Piano Trio No. 3 in G Minor, Op. 110",Piano Trio,Robert Schumann,1851,Romantic,Germany,1
1196,"Symphony No. 6 in E-flat Minor, Op. 111",Symphony,Sergei Prokofiev,1947,20th Century,Russia,1
1197,"Elijah, Op. 70",Choral orchestral,Felix Mendelssohn,1846,Romantic,Germany,1
1198,"Pierrot Lunaire (Dreimal sieben Gedichte aus Albert Girauds), Op. 21",Lieder / Song,Arnold Schoenberg,1912,20th Century,Austria,1
1199,"Juditha Triumphans, RV 644",Choral orchestral,Antonio Vivaldi,1716,Baroque,Italy,1
1200,"Symphony No. 4 in A Minor, Op. 63",Symphony,Jean Sibelius,1911,Late Romantic,Finland,1
1201,"Études symphoniques, Op. 13",Piano Sonata,Robert Schumann,1837,Romantic,Germany,1
1202,"Ich habe genug, BWV 82",Choral orchestral,Johann Sebastian Bach,1727,Baroque,Germany,1
1203,"Viola Concerto, Sz. 120, BB 128",Viola Concerto,Béla Bartók,1945,20th Century,Hungary,1
1204,"Guitar Quintet No. 4 in D Major, G. 448",String Quintet,Luigi Boccherini,1798,Classical,Italy,1
1205,Tuba Concerto,Wind Concerto,Ralph Vaughan Williams,1954,Late Romantic,England,1
1206,"Saxophone Concerto, Op. 109",Wind Concerto,Alexander Glazunov,1934,Late Romantic,Russia,1
1207,"Messe de minuit pour noël, H. 1",Mass / Requiem,Marc-Antoine Charpentier,1690,Baroque,France,1
1208,"Organ Sonatas (Trio Sonatas), BWV 525–530",Organ,Johann Sebastian Bach,-1,Baroque,Germany,1
1209,"Come, ye Sons of Art, Z. 323",Voice and Orchestra,Henry Purcell,1694,Baroque,England,1
1210,Requiem,Mass / Requiem,Johannes Ockeghem,-1,Medieval-Renaissance,France,1
1211,Pièces de clavecin en concerts,Violin Sonata,Jean-Philippe Rameau,-1,Baroque,France,1
1212,"String Quartet in E Minor, Op. 121",String Quartet,Gabriel Fauré,1924,Late Romantic,France,1
1213,"String Quartet No. 3 in B-flat Major, Op. 67",String Quartet,Johannes Brahms,1875,Romantic,Germany,1
1214,"Pohjola's Daughter (Pohjolan tytär), Op. 49",Symphonic Poem,Jean Sibelius,1906,Late Romantic,Finland,1
1215,"Oboe Concerto, AV 144, TrV 292",Wind Concerto,Richard Strauss,1945,Late Romantic,Germany,1
1216,String Quartet No. 1,String Quartet,Luigi Cherubini,1814,Early Romantic,Italy,1
1217,"Prélude, Choral et Fugue",Piano Sonata,César Franck,1884,Romantic,Belgium,1
1218,"Symphony No. 6 in D Major (Le matin), Hob. I/6",Symphony,Joseph Haydn,1761,Classical,Austria,1
1219,"Exsultate, jubilate, K. 165",Choral orchestral,Wolfgang Amadeus Mozart,1773,Classical,Austria,1
1220,"Liturgy of St. John Chrysostom, Op. 31",Chant,Sergei Rachmaninoff,1910,Late Romantic,Russia,1
1221,"Two Songs for Alto, Viola, and Piano, Op. 91",Lieder / Song,Johannes Brahms,1884,Romantic,Germany,1
1222,String Quartet No. 1 (Métamorphoses nocturnes),String Quartet,György Ligeti,1954,Post-War,Hungary,1
1223,"Carnaval (Scènes mignonnes sur quatre notes), Op. 9",Piano Sonata,Robert Schumann,1835,Romantic,Germany,1
1224,Tintagel,Symphonic Poem,Arnold Bax,1919,20th Century,England,1
1225,"Widerstehe doch der Sünde, BWV 54",Choral orchestral,Johann Sebastian Bach,1714,Baroque,Germany,1
1226,"Sonatina, Sz. 55, BB. 69",Piano Sonata,Béla Bartók,1915,20th Century,Hungary,1
1227,"Magnificat, Wq 215, H.772",Choral orchestral,Carl Philipp Emanuel Bach,1749,Classical,Germany,1
1228,"Mass No. 11 in D Minor (Nelson Mass), Hob. XXII/11",Mass / Requiem,Joseph Haydn,1798,Classical,Austria,1
1229,"Piano Sonata No. 1 in D Minor, Op. 28",Piano Sonata,Sergei Rachmaninoff,1908,Late Romantic,Russia,1
1230,Langsamer Satz,String Quartet,Anton Webern,1905,20th Century,Austria,1
1231,"Raymonda, Op. 57",Ballet,Alexander Glazunov,1897,Late Romantic,Russia,1
1232,"The Ways of Zion Do Mourn / Funeral Anthem for Queen Caroline, HWV 264",Choral orchestral,George Frideric Handel,1737,Baroque,Germany,1
1233,"An die ferne Geliebte, Op. 98",Lieder / Song,Ludwig van Beethoven,1816,Early Romantic,Germany,1
1234,Nocturnes,Piano Sonata,Gabriel Fauré,1921,Late Romantic,France,1
1235,"Sonata for Flute, Viola, and Harp, L. 137",Unsorted Chamber,Claude Debussy,1915,Late Romantic,France,1
1236,Missa L'homme Armé Super Voces Musicales,Mass / Requiem,Josquin des Prez,-1,Medieval-Renaissance,Belgium,1
1237,Dixit Dominus,Choral orchestral,Alessandro Scarlatti,-1,Baroque,Italy,1
1238,My Ladye Nevells Booke,Piano Sonata,William Byrd,1591,Medieval-Renaissance,England,1
1239,"Piano Sextet in D Major, Op. 110",Sextet,Felix Mendelssohn,1824,Romantic,Germany,1
1240,"String Quartet No. 10 in E-flat Major, Op. 51 (B. 92)",String Quartet,Antonín Dvořák,1879,Romantic,Czech Republic,1
1241,"String Quartet No. 2, Sz. 67",String Quartet,Béla Bartók,1917,20th Century,Hungary,1
1242,"Piano Concerto No. 17 in G Major, K. 453",Piano Concerto,Wolfgang Amadeus Mozart,1784,Classical,Austria,1
1243,"Violin Sonata No. 1 in D Minor, Op. 75",Violin Sonata,Camille Saint-Saëns,1885,Romantic,France,1
1244,"Concert champêtre, FP 49",Harpsichord conceto,Francis Poulenc,1928,20th Century,France,1
1245,"Ich hatte viel Bekümmernis, BWV 21",Choral orchestral,Johann Sebastian Bach,1713,Baroque,Germany,1
1246,"Mikrokosmos, Sz. 107, BB 105",Piano Sonata,Béla Bartók,1939,20th Century,Hungary,1
1247,"Cello Concerto No. 2 in A Major, G. 475",Cello Concerto,Luigi Boccherini,-1,Classical,Italy,1
1248,"Symphony No. 80 in D Minor, Hoboken 1/80",Symphony,Joseph Haydn,1784,Classical,Austria,1
1249,"Ascension Oratorio (Lobet Gott in seinen Reichen), BWV 11",Choral orchestral,Johann Sebastian Bach,1735,Baroque,Germany,1
1250,"Utrecht Te Deum and Jubilate, HWV 278-279",Choral orchestral,George Frideric Handel,1713,Baroque,Germany,1
1251,Tamara,Symphonic Poem,Mily Balakirev,1882,Romantic,Russia,1
1252,"Geistliches Lied, Op. 30",Choral orchestral,Johannes Brahms,1856,Romantic,Germany,1
1253,Missa L'homme Armé Sexti Toni,Mass / Requiem,Josquin des Prez,-1,Medieval-Renaissance,Belgium,1
1254,Missa Ecce sacerdos magnus,Mass / Requiem,Giovanni Pierluigi da Palestrina,-1,Medieval-Renaissance,Italy,1
1255,"String Quartet No. 3 in A Major, Op. 41 No. 3",String Quartet,Robert Schumann,1842,Romantic,Germany,1
1256,Ainsi la nuit (Thus the Night),String Quartet,Henri Dutilleux,1976,Post-War,France,1
1257,"Cello Sonata No. 2 in D Major, Op. 58",Cello Sonata,Felix Mendelssohn,1843,Romantic,Germany,1
1258,Jenůfa,Opera,Leoš Janáček,1902,Late Romantic,Czech Republic,1
1259,Saint François d'Assise,Opera,Olivier Messiaen,1983,20th Century,France,1
1260,Le Grand Macabre,Opera,György Ligeti,1977,Post-War,Hungary,1
1261,The Cunning Little Vixen,Opera,Leoš Janáček,1923,Late Romantic,Czech Republic,1
1262,Mittwoch aus Licht (Wednesday from Light),Opera,Karlheinz Stockhausen,1997,Post-War,Germany,1
1263,"Three Pieces for Orchestra (Drei Orchesterstücke), Op. 6",Unsorted Orchestral,Alban Berg,1915,20th Century,Austria,1
1264,"Piano Sonata, Op. 1",Piano Sonata,Henri Dutilleux,1948,Post-War,France,1
1265,"Jauchzet Gott in allen Landen, BWV 51",Choral orchestral,Johann Sebastian Bach,1730,Baroque,Germany,1
1266,"3 Chansons de Bilitis, L. 90",Lieder / Song,Claude Debussy,1898,Late Romantic,France,1
1267,"String Quintet No. 3 in E-flat Major, Op. 97",String Quintet,Antonín Dvořák,1893,Romantic,Czech Republic,1
1268,Concerts royaux,Unsorted Orchestral,François Couperin,1715,Baroque,France,1
1269,Impromptus,Piano Sonata,Gabriel Fauré,1909,Late Romantic,France,1
1270,"String Quintet No. 2 in B-flat Major, Op. 87",String Quintet,Felix Mendelssohn,1845,Romantic,Germany,1
1271,Shéhérazade,Lieder / Song,Maurice Ravel,1904,Late Romantic,France,1
1272,"Orchestral Suite No. 3 in G Major, Op. 55",Unsorted Orchestral,Pyotr Ilyich Tchaikovsky,1884,Romantic,Russia,1
1273,"String Trio, Op. 20",String Trio,Anton Webern,1927,20th Century,Austria,1
1274,"Overture in the French Style (Ouvertüre nach Französischer Art), BWV 831",Piano Sonata,Johann Sebastian Bach,1733,Baroque,Germany,1
1275,"Toccata and Fugue in F Major (Dorian), BWV 540",Organ,Johann Sebastian Bach,-1,Baroque,Germany,1
1276,"Trio for Violin, Horn and Piano",Piano Trio,György Ligeti,1982,Post-War,Hungary,1
1277,"The Epic of Gilgamesh (Gilgameš), H. 351",Choral orchestral,Bohuslav Martinů,1955,20th Century,Czech Republic,1
1278,Missa Mi-Mi,Mass / Requiem,Johannes Ockeghem,-1,Medieval-Renaissance,France,1
1279,Toward the Sea,Unsorted Chamber,Toru Takemitsu,1981,Post-War,Japan,1
1280,Pièces de Clavecin,Piano Sonata,Jean-Philippe Rameau,1727,Baroque,France,1
1281,"Chamber Symphony No. 1 (Kammersymphonie), Op. 9",Symphony,Arnold Schoenberg,1906,20th Century,Austria,1
1282,"Fantasy No. 1 with Fugue in C Major (Fantasie), K. 394",Piano Sonata,Wolfgang Amadeus Mozart,1782,Classical,Austria,1
1283,"Violin Sonata No. 25 in F Major, K. 377 (K. 374e)",Violin Sonata,Wolfgang Amadeus Mozart,1781,Classical,Austria,1
1284,"Cello Sonata No. 2, Op. 117",Cello Sonata,Gabriel Fauré,1921,Late Romantic,France,1
1285,"Les Troyens (The Trojans), H 133",Opera,Hector Berlioz,1858,Romantic,France,1
1286,"Second Essay for Orchestra, Op. 17",Unsorted Orchestral,Samuel Barber,1942,20th Century,United States,1
1287,"Central Park in the Dark, Op. 34",Unsorted Orchestral,Charles Ives,1906,20th Century,United States,1
1288,"Fantasiestücke, Op. 12",Piano Sonata,Robert Schumann,1837,Romantic,Germany,1
1289,"Ein feste Burg ist unser Gott, BWV 80",Choral orchestral,Johann Sebastian Bach,1731,Baroque,Germany,1
1290,"String Quintet in F Major, WAB 112",String Quintet,Anton Bruckner,1879,Romantic,Austria,1
1291,Anthèmes,String solo,Pierre Boulez,1997,Post-War,France,1
1292,Rituel in memoriam Bruno Maderna,Unsorted Orchestral,Pierre Boulez,1975,Post-War,France,1
1293,Grand Pianola Music,Unsorted Orchestral,John Adams,1982,Post-War,United States,1
1294,Coro,Voice and Orchestra,Luciano Berio,1976,Post-War,Italy,1
1295,"La Bonne Chanson, Op. 61",Lieder / Song,Gabriel Fauré,1894,Late Romantic,France,1
