,title,category,composer,year,epoch,country,stars
173,Romeo and Juliet,Symphonic Poem,Pyotr Ilyich Tchaikovsky,1869,Romantic,Russia,44
174,Night on Bald Mountain,Symphonic Poem,Modest Mussorgsky,1867,Romantic,Russia,44
175,Waltzes,Piano Sonata,Frédéric Chopin,1849,Romantic,Poland,43
176,"Má vlast, JB 1:112",Unsorted Orchestral,Bedřich Smetana,1879,Romantic,Czech Republic,42
177,Die Fledermaus,Opera,Johann Strauss II,1874,Romantic,Austria,42
178,"The Sleeping Beauty, Op. 66",Ballet,Pyotr Ilyich Tchaikovsky,1889,Romantic,Russia,41
179,Symphony No. 1 in D Major (Titan),Symphony,Gustav Mahler,1888,Late Romantic,Austria,41
180,"Egmont, Op. 84",Unsorted Orchestral,Ludwig van Beethoven,1810,Early Romantic,Germany,40
181,"Symphony No. 8 in B Minor (Unfinished Symphony), D. 759",Symphony,Franz Schubert,1822,Early Romantic,Austria,38
182,"Symphony No. 5 in E Minor, Op. 64",Symphony,Pyotr Ilyich Tchaikovsky,1888,Romantic,Russia,38
183,"Introduction and Rondo Capriccioso, Op. 28",Violin Concerto,Camille Saint-Saëns,1863,Romantic,France,37
184,"Finlandia, Op. 26",Unsorted Orchestral,Jean Sibelius,1900,Late Romantic,Finland,36
185,Requiem,Mass / Requiem,Giuseppe Verdi,1874,Romantic,Italy,36
186,"Polonaise in A-flat Major (Heroic), Op. 53",Piano Sonata,Frédéric Chopin,1842,Romantic,Poland,36
187,"Symphony No. 7 in C Major (Leningrad), Op. 60",Symphony,Dmitri Shostakovich,1940,20th Century,Russia,35
188,Leçons de ténèbres,Choral orchestral,François Couperin,1714,Baroque,France,34
189,"Isle of the Dead, Op. 29",Symphonic Poem,Sergei Rachmaninoff,1908,Late Romantic,Russia,33
190,"Piano Sonata No. 2 in B-flat Minor (The Funeral March), Op. 35",Piano Sonata,Frédéric Chopin,1839,Romantic,Poland,33
191,"Rhapsody on a Theme of Paganini, Op. 43",Unsorted Orchestral,Sergei Rachmaninoff,1934,Late Romantic,Russia,32
192,"Clarinet Concerto in A Major, K. 622",Wind Concerto,Wolfgang Amadeus Mozart,1791,Classical,Austria,32
193,"La Stravaganza, Op. 4",Violin Concerto,Antonio Vivaldi,1713,Baroque,Italy,32
194,Symphony No. 3,Symphony,Gustav Mahler,1896,Late Romantic,Austria,32
195,"Mandolin Concerto in C Major, RV 425",Unsorted Orchestral,Antonio Vivaldi,1725,Baroque,Italy,31
196,"Pavane in F-sharp Minor, Op. 50",Unsorted Orchestral,Gabriel Fauré,1887,Late Romantic,France,31
197,William Tell (Guglielmo Tell),Opera,Gioachino Rossini,1829,Early Romantic,Italy,31
198,"Emperor Waltz, Op. 437",Unsorted Orchestral,Johann Strauss II,1889,Romantic,Austria,29
199,Symphony No. 6 (Tragic),Symphony,Gustav Mahler,1904,Late Romantic,Austria,29
200,"Piano Concerto No. 1 in E Minor, Op. 11",Piano Concerto,Frédéric Chopin,1830,Romantic,Poland,29
201,"Serenade for Strings in C Major, Op. 48",Unsorted Orchestral,Pyotr Ilyich Tchaikovsky,1880,Romantic,Russia,28
202,"Cello Concerto No. 1 in E-flat Major, Op. 107",Cello Concerto,Dmitri Shostakovich,1959,20th Century,Russia,27
203,"Symphony No. 8 in G Major, Op. 88, B. 163",Symphony,Antonín Dvořák,1889,Romantic,Czech Republic,26
204,"Symphony No. 4 in F Minor, Op. 36",Symphony,Pyotr Ilyich Tchaikovsky,1878,Romantic,Russia,26
205,The Lark Ascending,Violin Concerto,Ralph Vaughan Williams,1914,Late Romantic,England,25
